ligand,AK1,cc93,Fent2 436L,iCytBrEtSnFR,iCytSnFR,iEscSnFR,iFloxSnFR,iLevaphenolSnFR1.0,L194,Tap1.0,V4.8.1.2,v4.6,V6,V7,V7.1,V7.1.2,V8,V9
DEET,,,,,,,,,,,,,,,,,,
uric acid,,,,,,,,,,,,,,,,,,
sodium L-lactate,,,,,,,,,,,,,,,,,,
creatinine,,,,,,,,,,,,,,,,,,
taurine,,,,,,,,,,,,,,,,,,
D-(+)-glucosamine hydrochloride,,,,,,,,,,,,,,,,,,
L-carnosine,,,,,,,,,,,,,,,,,,
l-carnitine,,,,,,,,,,,,,,,,,,
beta hydroxybutyrate,0.02354558087646645,0.03404936402819646,0.04479915765555459,0.02840278111980296,0.048367653256206504,0.02979050946499407,0.072850200673438,0.054211260596033414,0.04277341522579702,0.08156029197191408,0.055716662108907404,0.030177440788557407,0.04811610943762785,0.02613028584961078,0.026133193586439035,0.030627795813758768,0.07840648092598229,0.04037694561591712
tryptamine hydrochloride,0.03243710540854926,0.030818999805852378,0.03812570576692782,0.030521761095972686,0.029248944139149295,0.05206596100893945,0.06321721617932793,0.031236712020616102,0.041721573124157786,0.07692442255582757,0.07344177892338456,0.031142597955024675,0.03310639054444094,0.015780310516084896,0.01865579456918105,0.03274113840981474,0.08982351344639365,0.034828721665746305
ciprofloxacin hydrochloride hydrate,0.02271026589547621,0.03727871397943566,0.021186818872886436,0.026300674700667815,0.059104905551489485,0.025149037164048527,0.0588667406727083,0.04707724552795775,0.0556494584253249,0.07470941926441504,0.0700292200495242,0.03691497099580272,0.034542695894115585,0.010712372792656723,0.016493992585575646,0.014293019582504427,0.08666397561745179,0.03681960076132627
theophylline,0.017418958443574255,0.04524533961209786,0.058443436755417646,0.04162248250007514,0.045295255368146436,0.017314311927507514,0.07164381735980939,0.029601362461463998,0.07813743424593589,0.1109949473714085,0.07156600518393821,0.044026721998723845,0.04229235548206197,0.011184045539368324,0.029734967993780483,0.03442350026124735,0.08825788418233035,0.06470035295187304
rosuvastatin,0.024162122121183353,0.04015031518092385,0.0439957962486314,0.025253403669330814,0.046616710918896416,0.02368931490021763,0.06402004801021574,0.03337658050522061,0.061547666319969024,0.1378995129780529,0.07560134710554266,0.03958760431271152,0.03172290276310907,0.007944508294587833,0.03159349048241299,0.011417322842384964,0.07476601736720632,0.06346527323475754
thiamine (hydrochloride),0.012258045262801059,0.04380835813616674,0.023003739930696154,0.023848494447001798,0.058431538679430566,0.03304853921541479,0.05603485376789867,0.0457293242223725,0.047025525445347535,0.06924090758598488,0.07019087175087355,0.02854798764285254,0.03721607081584026,0.0286743627585557,0.02162516238407553,0.01477296302992726,0.08112508761209415,0.03973309129875108
nicotinamide,0.07950727681236601,0.045421765938983935,0.02223511778956817,0.025600926200831115,0.07242962765824763,0.020325326600944656,0.051338195597544274,0.05593477783460899,0.06464308190292509,0.08346831041937863,0.08148846419024064,0.03135789949302206,0.03296813533516462,0.012178700593002828,0.021131497382958407,0.010460889973891774,0.07840648092598229,0.04556328682820165
glyphosate,0.05234561557580955,0.03605723999548853,0.046512758150605155,0.05733938056384155,0.03670738579376016,0.02918611380803715,0.050035456004450994,0.036476519699476136,0.05550138575259158,0.07554765631068155,0.06755804478049592,0.037575667866677806,0.0492589351130346,0.03507382013361559,0.02394128193913735,0.02913385827246171,0.09354035374055994,0.044018616312907384
citrulline,0.08582152817689669,0.03524966276262775,0.03827878443629591,0.05172488461741447,0.07825340941282234,0.05544933077811046,0.05180832889578105,0.04981788447373658,0.060031500837636566,0.09081553366510782,0.06361828353267523,0.04499664237227576,0.05413443183603953,0.01594309166789678,0.027979501103411658,0.05224218085291119,0.09237394645742693,0.04081942323352876
L-(+)-ergothioneine,0.0237443227033986,0.08036700367157312,0.031057277341800183,0.01735966048415697,1.198867093368033,0.12129064265311058,0.06462783690226487,0.07126471759275117,0.04823493418764498,0.09830773333802384,0.06467833407119974,0.05274700279343223,0.06534586025709567,0.06480321514303714,0.13013720856985214,0.14789007317233424,0.18421613587478464,0.08878492588334677
"L-glutathione, reduced",0.011586520008152287,0.0301897365807048,0.046169420616185286,0.024074678461062118,0.03018611839296543,0.06749278238404734,0.06081177566641105,0.04594478301528231,0.08111387484191704,0.1199919606284381,0.07257245155188351,0.07944385289112717,0.032727955288917775,0.02657121962081475,0.040616077802345496,0.043339286547191436,0.08825788418233035,0.06727177110635621
-atenolol,0.015516557922865713,0.05314649073818837,0.12000518434247534,0.006986435294123041,0.04454445907095787,0.04902822716566179,0.05212512966179991,0.034666738524327875,0.05332356693223471,0.10456776187724272,0.07802114762655919,0.03328909496445407,0.05561005262491695,0.014412023622383792,0.03697060620809093,0.07122394364107233,0.08338480539993758,0.050675160492337376
betahistine,0.039466381367637776,0.3515651202856563,0.027802781121815022,0.0517752569364509,0.051285964619689255,0.22774023732635834,0.05540530985490888,0.09254074419560868,0.04666246893559268,0.09750370057465654,0.04419131320036771,0.03681865107712318,0.04445592289175314,0.16635766559426832,0.18052420958605198,0.07663019472821267,0.1661803353093131,0.09731747410812061
3-methyl-L-histidine,0.10028480643162122,0.05636011793944627,0.021463516953458224,0.026681495342914936,0.03208927770172878,0.024261142522478116,0.054292980577144746,0.0697079148271178,0.055767633525523386,0.08727947020879205,0.054482525070553504,0.026979518950233355,0.04759550308491407,0.02347574398286754,0.1369956975805643,0.044451591124528025,0.05769317924908183,0.03232863571555301
L-theanine,,0.041502056002587946,0.028629929452448327,0.013925006901439605,0.03238630106122874,0.03538576580613083,0.06972934658048045,0.04572132476210192,0.043724787872150554,0.09275948714165809,0.06842482633874038,0.032320573646785256,0.042331609981540834,0.015780310516084896,0.020997893318987552,0.028357390722492496,0.05550380447150534,0.03805950008699785
ritalinic acid,0.011851241987827152,0.0032533473218810346,0.009359112172805283,0.005202392825142822,0.007113198071823795,0.004588110910883737,0.020628366020654747,0.009524619205365206,0.012443921946989803,0.030753330697001296,0.03407692907172784,0.028890499759815218,0.01940095484885156,0.0015777847900795444,0.003115851224569266,0.00944603508130447,0.0064920502143647465,0.0037851219375417203
